Järjestelmäkaappi;;;;;;;;;
IO-kaappi;Asema;Positio;Kortti;IBC;Slot;Kanava;;Huom.;Revisio
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
CR01;FP01;HSV200;DO8P;1;0;0;;;
CR01;FP01;HSV201;DO8P;1;0;1;;;
CR01;FP01;HSV218;DO8P;1;0;2;;;
CR01;FP01;HSV232;DO8P;1;0;3;;;
CR01;FP01;HSV233;DO8P;1;0;4;;;
CR01;FP01;RESERVI;DO8P;1;0;5;;;
CR01;FP01;RESERVI;DO8P;1;0;6;;;
CR01;FP01;RESERVI;DO8P;1;0;7;;;
CR01;FP01;HV200;DI8P;1;1;0;;;
CR01;FP01;HV201;DI8P;1;1;1;;;
CR01;FP01;HV232;DI8P;1;1;2;;;
CR01;FP01;HV233;DI8P;1;1;3;;;
CR01;FP01;RESERVI;DI8P;1;1;4;;;
CR01;FP01;RESERVI;DI8P;1;1;5;;;
CR01;FP01;RESERVI;DI8P;1;1;6;;;
CR01;FP01;RESERVI;DI8P;1;1;7;;;
CR01;FP01;HV200;DI8P;1;2;0;;;
CR01;FP01;HV201;DI8P;1;2;1;;;
CR01;FP01;HV232;DI8P;1;2;2;;;
CR01;FP01;HV233;DI8P;1;2;3;;;
CR01;FP01;RESERVI;DI8P;1;2;4;;;
CR01;FP01;RESERVI;DI8P;1;2;5;;;
CR01;FP01;RESERVI;DI8P;1;2;6;;;
CR01;FP01;RESERVI;DI8P;1;2;7;;;
CR01;FP01;TS260;DO8P;1;3;0;;;
CR01;FP01;RESERVI;DO8P;1;3;1;;;
CR01;FP01;RESERVI;DO8P;1;3;2;;;
CR01;FP01;RESERVI;DO8P;1;3;3;;;
CR01;FP01;RESERVI;DO8P;1;3;4;;;
CR01;FP01;RESERVI;DO8P;1;3;5;;;
CR01;FP01;RESERVI;DO8P;1;3;6;;;
CR01;FP01;RESERVI;DO8P;1;3;7;;;
CR01;FP01;PDSH203;DI8P;1;4;0;;;
CR01;FP01;PS204;DI8P;1;4;1;;;
CR01;FP01;TS205;DI8P;1;4;2;;;
CR01;FP01;TS205;DI8P;1;4;3;;;
CR01;FP01;FS206;DI8P;1;4;4;;;
CR01;FP01;GS212;DI8P;1;4;5;;;
CR01;FP01;GS212;DI8P;1;4;6;;;
CR01;FP01;GS213;DI8P;1;4;7;;;
CR01;FP01;HS215;DI8P;1;5;0;;;
CR01;FP01;HS215;DI8P;1;5;1;;;
CR01;FP01;HS215;DI8P;1;5;2;;;
CR01;FP01;HS216;DI8P;1;5;3;;;
CR01;FP01;FS219;DI8P;1;5;4;;;
CR01;FP01;PS224;DI8P;1;5;5;;;
CR01;FP01;PS225;DI8P;1;5;6;;;
CR01;FP01;TS260;DI8P;1;6;3;;;
CR01;FP01;PA265;DI8P;1;6;4;;;
CR01;FP01;FA266;DI8P;1;6;5;;;
CR01;FP01;FA266;DI8P;1;6;6;;;
CR01;FP01;FA267;DI8P;1;6;7;;;
CR01;FP01;FA267;DI8P;1;7;0;;;
CR01;FP01;RESERVI;DI8P;1;7;1;;;
CR01;FP01;RESERVI;DI8P;1;7;2;;;
CR01;FP01;RESERVI;DI8P;1;7;3;;;
